Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,MA7,MA21,Price_Range
RELIANCE,2025-11-17,1520.9,1523.7,1511.5,1518.3,5871416,-0.0004,1502.9,1479.59,12.2
RELIANCE,2025-11-18,1521.7,1527.8,1510.5,1519.4,11045042,0.0007,1508.81,1485.36,17.3
RELIANCE,2025-11-19,1517.4,1522.3,1512.0,1518.9,5692366,-0.0003,1513.04,1490.22,10.3
RELIANCE,2025-11-20,1530.0,1550.9,1526.7,1549.1,18171724,0.0199,1521.0,1494.14,24.2
RELIANCE,2025-11-21,1541.0,1557.8,1540.1,1546.6,9615271,-0.0016,1526.01,1498.01,17.7
RELIANCE,2025-11-24,1550.0,1550.0,1531.8,1535.9,18433951,-0.0069,1529.59,1502.18,18.2
RELIANCE,2025-11-25,1535.9,1559.6,1525.1,1539.7,15033482,0.0025,1532.56,1506.38,34.5
RELIANCE,2025-11-26,1542.3,1571.6,1540.5,1569.9,14054299,0.0196,1539.93,1510.46,31.1
RELIANCE,2025-11-27,1575.0,1575.5,1556.0,1563.4,9794643,-0.0041,1546.21,1514.1,19.5
RELIANCE,2025-11-28,1568.0,1581.3,1563.0,1567.5,8959508,0.0026,1553.16,1517.12,18.3
RELIANCE,2025-12-01,1575.0,1577.5,1563.6,1566.1,8920233,-0.0009,1555.59,1520.81,13.9
RELIANCE,2025-12-02,1561.1,1567.5,1542.0,1546.3,11389150,-0.0126,1555.54,1523.67,25.5
RELIANCE,2025-12-03,1545.2,1552.4,1533.0,1538.8,6090883,-0.0049,1555.96,1526.24,19.4
RELIANCE,2025-12-04,1536.0,1560.5,1517.6,1535.6,11867930,-0.0021,1555.37,1529.22,42.9
RELIANCE,2025-12-05,1530.4,1545.8,1520.6,1540.6,10183266,0.0033,1551.19,1531.34,25.2
RELIANCE,2025-12-08,1539.2,1551.0,1535.0,1543.0,11301491,0.0016,1548.27,1534.43,16.0
RELIANCE,2025-12-09,1540.3,1542.5,1520.1,1529.4,11503971,-0.0088,1542.83,1536.34,22.4
RELIANCE,2025-12-10,1534.0,1547.5,1531.4,1536.9,7991629,0.0049,1538.66,1538.41,16.1
RELIANCE,2025-12-11,1536.9,1550.0,1524.0,1545.0,4706197,0.0053,1538.47,1540.01,26.0
RELIANCE,2025-12-12,1550.8,1559.8,1546.1,1556.5,5106655,0.0074,1541.0,1542.18,13.7
RELIANCE,2025-12-15,1551.2,1558.6,1546.5,1556.2,5774543,-0.0002,1543.94,1543.96,12.1
RELIANCE,2025-12-16,1545.0,1551.7,1538.8,1542.3,11731856,-0.0089,1544.19,1545.1,12.9
RELIANCE,2025-12-17,1550.0,1550.0,1539.3,1544.4,7116649,0.0014,1544.39,1546.29,10.7
RELIANCE,2025-12-18,1535.2,1551.5,1535.2,1544.4,6580829,0.0,1546.53,1547.5,16.3
RELIANCE,2025-12-19,1554.4,1574.2,1551.0,1565.1,13937275,0.0134,1550.56,1548.27,23.2
RELIANCE,2025-12-22,1573.5,1577.5,1565.3,1575.4,10184852,0.0066,1554.9,1549.64,12.2
RELIANCE,2025-12-23,1580.9,1580.9,1568.1,1570.7,7506564,-0.003,1556.93,1551.3,12.8
RELIANCE,2025-12-24,1572.7,1575.7,1553.6,1558.2,8815745,-0.008,1557.21,1552.18,22.1
RELIANCE,2025-12-26,1554.7,1561.0,1554.3,1559.2,2311495,0.0006,1559.63,1551.67,6.7
RELIANCE,2025-12-29,1554.9,1558.1,1543.6,1545.6,5972105,-0.0087,1559.8,1550.82,14.5
RELIANCE,2025-12-30,1547.0,1553.6,1537.8,1539.8,8815884,-0.0038,1559.14,1549.5,15.8
RELIANCE,2025-12-31,1541.0,1577.0,1541.0,1570.4,5771830,0.0199,1559.9,1549.7,36.0
RELIANCE,2026-01-01,1573.7,1592.5,1571.1,1575.6,6408128,0.0033,1559.93,1551.1,21.4
RELIANCE,2026-01-02,1580.0,1594.6,1578.2,1592.3,6602230,0.0106,1563.01,1553.65,16.4
RELIANCE,2026-01-05,1593.0,1611.8,1575.3,1578.1,8704973,-0.0089,1565.86,1555.67,36.5
RELIANCE,2026-01-06,1569.0,1569.0,1496.3,1507.6,27417125,-0.0447,1558.49,1554.1,72.7
RELIANCE,2026-01-07,1510.0,1520.0,1498.0,1504.2,11199340,-0.0023,1552.57,1552.25,22.0
RELIANCE,2026-01-08,1500.0,1503.9,1468.8,1470.6,16518684,-0.0223,1542.69,1549.45,35.1
